1	0	0	2	0
0	0	0	2	0
1	0	0	2	0
1	2	0	2	0
1	1	0	2	8
1	1	0	2	0
0	0	0	2	0
1	1	0	2	0
1	2	0	2	0
1	0	0	3	0
1	0	0	2	0
1	0	0	2	0
1	1	0	2	0
1	1	0	2	132
0	2	0	2	0
1	1	0	2	0
0	0	0	2	0
1	0	0	2	8
1	1	0	2	4
1	1	0	2	0
1	0	0	2	0
1	1	0	2	0
1	1	0	2	64
1	1	0	2	0
1	1	0	2	4
1	1	0	2	2
1	1	0	2	8
1	1	0	2	64
1	2	0	2	0
1	2	0	2	0
1	2	0	2	0
1	2	0	2	0
1	1	0	2	282
1	2	0	2	0
1	0	0	2	8
1	0	0	2	0
1	0	0	2	0
1	2	0	2	0
1	1	2	2	6
1	1	1	2	8
1	1	0	2	8
1	1	0	2	0
1	1	0	2	0
1	1	0	2	0
1	1	0	2	0
1	1	0	2	64
1	1	0	2	4
1	1	0	2	0
1	1	0	3	9
1	2	0	2	0
1	1	0	2	2
1	1	0	2	4
1	1	0	2	0
1	1	0	2	0
1	1	0	2	64
1	1	0	2	8
1	2	0	2	0
1	2	0	2	0
1	2	0	2	0
1	2	0	2	0
1	2	0	2	0
1	1	0	3	0
1	1	0	2	328
1	2	0	2	0
1	1	0	2	68
0	1	0	2	0
0	1	0	0	4
1	2	0	2	0
1	1	0	2	4
1	0	0	2	136
1	1	0	2	128
0	0	0	0	0
1	1	0	2	0
1	1	0	2	3
1	1	0	2	64
0	1	0	2	64
0	1	0	2	64
0	1	0	2	64
1	0	0	2	4
1	1	0	2	0
0	1	0	2	0
1	2	0	2	0
1	1	0	2	0
0	1	0	2	0
1	1	0	2	0
1	2	0	2	0
1	2	0	2	0
1	0	0	2	0
1	1	0	2	4
1	1	1	2	128
1	1	3	2	128
1	1	0	2	0
1	0	0	2	0
1	1	0	2	0
0	1	0	0	0
1	0	0	2	0
1	0	0	2	0
1	0	0	2	256
0	0	0	2	8
1	1	0	2	0
1	0	2	2	1
1	0	0	2	4
1	1	0	2	0
1	0	0	2	0
1	0	0	2	0
1	0	0	2	0
