0	273	0
0	207	0
0	73	0
0	54	0
0	70	258
16	68	0
0	71	0
0	317	0
19	116	0
0	244	64
0	13	0
0	360	0
0	187	4096
0	335	33
0	90	0
0	96	0
0	96	0
0	157	1026
0	270	0
0	291	16
0	273	1
0	50	0
0	348	0
16	295	0
0	279	0
15	254	128
0	5	4
0	291	0
0	332	0
16	192	0
16	337	0
27	93	0
0	352	2
15	313	0
0	100	10
0	62	0
0	332	0
17	50	0
0	100	1
16	3	260
0	185	2
15	310	0
0	336	524288
0	320	0
0	244	16400
16	154	0
0	140	1
18	155	256
0	343	522
0	329	0
20	307	0
17	327	0
0	41	0
17	94	1024
0	339	256
15	320	4
18	219	0
16	54	0
16	54	0
16	296	0
18	63	8
18	296	16512
0	191	2050
0	73	0
0	96	1
0	282	0
0	253	1
0	93	0
0	251	1
0	121	2
0	183	0
0	183	0
0	315	0
0	273	0
0	58	16512
0	58	16512
0	58	16512
0	58	16512
0	351	0
0	121	0
0	121	0
0	217	0
0	207	2
0	150	0
0	35	0
0	154	8
0	95	0
0	238	0
0	188	144
0	336	32
0	358	40
13	70	256
17	107	0
31	269	131072
20	244	0
20	294	0
19	207	0
19	207	0
0	205	2
0	146	0
16	208	0
0	130	1
17	288	0
18	191	9
0	267	0
16	313	8
0	110	128
0	244	0
17	313	0
23	320	20
0	138	1032
0	334	8
0	17	0
27	65	0
20	200	0
0	127	640
0	11	0
0	207	0
0	252	131204
22	111	1
18	269	0
17	34	0
0	51	0
22	293	8192
16	255	0
0	93	0
19	256	1
0	8	0
20	66	0
0	352	0
18	171	0
19	319	67338248
15	302	0
0	127	0
0	103	0
18	8	32
0	139	0
0	38	0
0	154	4
20	143	0
0	223	0
18	233	0
22	153	0
19	244	0
0	197	0
16	212	1
0	335	64
18	303	0
0	207	128
17	203	1
19	270	0
0	79	0
19	327	0
30	346	0
17	133	0
19	222	0
0	290	0
0	120	0
17	171	4
0	18	4
18	106	2081
18	69	0
0	93	144
0	297	0
19	286	0
61	342	0
23	154	0
0	275	0
40	100	0
40	133	0
19	268	16384
35	230	0
24	248	0
20	318	0
0	234	524296
0	259	0
18	124	0
0	324	16392
20	169	0
27	235	0
0	59	0
25	266	16400
21	86	0
