4776	0	0	2919	3119	0	1622
5944	4697	0	1254	0	0	1567
8359	0	0	1638	0	0	0
4458	2348	0	674	0	0	2157
9223	0	0	1783	4286	0	0
11145	17617	0	1170	0	0	4681
9119	0	0	827	0	0	4633
4893	5156	0	1186	570	0	2965
3039	0	0	0	0	0	8811
8359	0	0	2268	0	0	1512
10031	0	7123	0	0	0	8594
8722	0	0	4761	0	0	1680
11145	4404	0	0	0	0	1065
6079	0	0	877	0	0	585
4268	0	0	388	0	0	1295
4776	7550	0	1872	1800	0	3744
3715	0	0	1506	0	0	0
11145	0	0	2168	0	0	963
3184	0	0	4369	0	0	1872
4012	2114	0	7358	3204	0	1666
8359	0	0	1673	5899	0	2788
0	10570	0	0	2625	0	0
7114	0	0	289	0	0	1159
22291	0	0	2340	9002	0	0
1857	2936	0	2214	0	0	1771
5944	7046	0	0	594	572	4636
9553	6471	0	0	0	0	2057
6368	2516	0	166	0	0	332
6687	5285	0	364	0	0	0
11801	0	0	1034	1326	0	689
7229	8570	0	827	1273	0	0
1714	2710	0	780	1200	1155	1872
9752	0	0	0	2270	0	1771
18238	0	0	0	0	0	0
8916	0	0	0	0	0	7076
8628	0	0	0	0	0	0
2089	0	0	0	0	0	455
11145	0	0	537	0	0	5371
8537	4498	0	0	0	594	2891
9959	0	3031	1180	0	0	1180
9553	10066	0	1170	0	0	2633
8359	0	0	936	0	0	0
13374	0	0	0	7231	994	0
2026	0	4317	0	3036	0	789
8537	8996	0	0	572	0	2681
3715	8808	0	176	2032	0	0
0	10570	0	11605	18379	0	0
7642	0	0	0	12973	594	0
12805	6747	3031	954	611	0	2863
10176	4595	0	0	0	0	0
5144	0	0	916	0	0	1374
5015	5285	3561	1452	7450	2391	12913
6368	0	13568	3072	3938	0	3413
6687	0	0	0	0	0	0
15100	3409	0	224	1726	0	5386
11888	0	0	0	1161	0	1812
16718	0	0	0	0	0	15603
4776	0	0	1365	3500	3371	0
4776	0	0	1365	3500	3371	0
9362	4228	0	0	0	0	869
9553	2516	0	0	0	0	1706
10176	6893	0	2496	600	0	3120
7599	2402	0	0	1095	0	6838
6368	0	0	762	0	0	1016
13003	8808	0	0	0	0	873
9223	0	0	4813	712	685	1851
7599	2402	0	805	0	1492	1880
6079	2402	0	1165	0	0	2621
3933	3108	0	2083	0	0	1136
6079	6406	0	1252	0	0	1252
11145	0	0	949	0	0	5698
11145	0	0	949	0	0	5698
7114	6747	0	1040	0	0	2427
6079	9609	0	621	0	0	2795
