00000	-1.5076582	5.7771172	2.3438958
00001	-2.3173275	6.5280602	3.2489060
00002	-2.8787137	7.2887848	3.7392202
00003	-2.1069800	6.5937403	3.3346022
00004	-1.7139284	6.4274876	2.9906638
00005	-3.6378326	7.6716961	4.0789409
00006	-1.3348458	6.7394749	2.6247945
00007	-1.4359824	5.7727884	2.1470283
00008	-2.2850687	6.6042335	3.4862826
00009	-1.5860144	6.7377935	2.0582201
00010	-1.4542578	5.4380584	2.3849548
00011	-2.1291357	6.5599795	3.1234333
00012	-2.0487553	5.9520322	3.7411810
00013	-2.0284163	7.0517186	3.2793056
00014	-1.8460464	6.9322866	3.1787359
00015	-2.9292800	7.3200494	3.7824076
00016	-2.3363327	7.0128132	3.4620014
00017	-0.6212063	6.0253690	3.6233654
00018	-2.4104164	6.5450246	3.5339680
00019	-0.8360162	6.5552224	3.1919611
00020	-1.6369743	7.0370286	3.2157545
00021	-2.7308176	7.1949851	3.6822439
00022	-1.0450246	6.2591774	1.7715096
00023	-4.9881322	8.3649587	4.5921732
00024	-1.8415494	7.0421137	3.2545426
00025	-0.0101718	5.9693375	3.4462409
00026	-1.9544789	6.9147133	2.9467028
00027	-0.5613551	4.9619050	3.1051805
00028	-0.9305223	5.3097417	3.1873381
00029	-2.2785082	6.6004257	3.7362163
00030	-2.1979349	5.6181143	2.4842492
00031	-1.9317782	6.8364399	3.2887398
00032	-1.6045617	6.3581238	1.8904955
00033	-2.3370009	6.7284850	3.6404013
00034	-0.8689533	4.4491795	2.2753537
00035	-1.9190870	7.0296511	3.2722414
00036	0.6999196	5.3489832	3.5869820
00037	-2.2628368	6.7724440	3.6719292
00038	-1.4757766	7.0261914	2.8771084
00039	-0.8417347	5.8686018	1.6017119
00040	-2.7621818	5.2416048	2.6423175
00041	-2.8204873	7.2524330	3.7336441
00042	-2.4385082	5.8229416	3.8835750
00043	-1.9977545	6.9678747	3.2350466
00044	-1.1784898	5.6740797	2.2834925
00045	-1.8565816	6.6109441	2.5298032
00046	-3.0466269	5.4128279	3.1025649
00047	-1.9093321	6.4666833	3.2064068
00048	-2.4642848	5.5608691	1.8687687
00049	-0.5654687	6.4655539	2.9718209
00050	-1.4740074	5.9024811	3.7805377
00051	-2.3521807	6.3662258	2.8838820
00052	-2.1679175	6.7149995	3.2736813
00053	-2.5627291	7.0749628	3.6534351
